,attack_std_home,defence_std_home,defence_std_away,attack_std_away
Arsenal,1.228320776436091,0.8342100651206134,1.2139539573337679,1.2115429242540032
Bournemouth,1.2163602113447685,1.2042808632793343,1.706540565516796,1.5709348354753425
Brighton,0.881917103688197,1.3891812557774845,1.0029197142425579,0.8342100651206134
Burnley,0.9334586382051249,1.4926721593968975,1.4867838833500564,1.1496249070460265
Cardiff,1.1002392084403616,1.7320508075688772,1.3420765964144055,0.8200698871944031
Chelsea,1.3112201362143716,0.7608859102526822,1.5746530296362717,1.2401659953032225
Crystal Palace,1.247219128924647,1.134261745631201,1.2163602113447687,1.2042808632793345
Everton,1.0706067580626215,1.5597270716416047,1.002919714242558,1.3267380744248862
Fulham,1.2588865404147536,1.2864566686188532,1.2565617248750864,0.6839855680567694
Huddersfield,0.512989176042577,1.1160708020048367,1.7704527454797003,0.8306975860878397
Leicester,1.097578408394179,1.0259783520851542,1.2635233389495326,0.9612370197756298
Liverpool,1.5236920380774408,0.8411910241920599,0.6839855680567694,1.0841764600337107
Man City,1.632993161855452,0.7608859102526822,0.7685331969757724,1.3743685418725538
Man United,1.326738074424886,0.7492686492653551,1.2635233389495326,1.1572300058975775
Newcastle,1.097578408394179,1.0029197142425579,1.134261745631201,1.025978352085154
Southampton,0.9612370197756298,1.0173926082384548,1.5370663939515443,0.9112679939102143
Tottenham,1.3975751766073288,0.8342100651206134,1.0841764600337105,1.407997208928653
Watford,1.1160708020048367,1.2187617145935723,1.2565617248750864,1.3420765964144055
West Ham,1.4549773415168656,1.0706067580626215,1.0733344230135038,1.223550580642996
Wolves,1.1722922015640782,1.0485300208760657,0.820069887194403,0.9428090415820634
